Timestamp,A1 What is your age?,A2 What is your sexual orientation?,A2.1 What is your gender identity?,A3 Where do you currently live?,"A4 In your own words, why do you use Bumble?",A5 How often do you use Bumble?,A6 How long have you been using Bumble,A7 Have you ever paid for a bumble feature— whether in the past or recently?,"A8 If yes, which feature(s) did you pay for? (Select all that apply) If no, check None only.","A9 On a scale of 1 to 4, how would you rate your satisfaction in using Bumble so far?

1 - Very dissatisfied
2 - Dissatisfied
3 - Satisfied
4 - Very satisfied
",A10 What type of connection do you use Bumble the most for?,"D1 When seeking dating opportunities on Bumble, do you have a specific goal in mind? (Select one/all that apply)",D2 Do you use your real name when creating a dating account in Bumble?,"D3 On the previous question, briefly explain why you do/do not use your real name?",D4 How many matches (on average) do you typically make in a week?,D5 How do you approach the swiping feature on Bumble personally?,"D6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference?",D7 What type of people do you usually look for in Bumble Dating?,D8 What type of people do you prefer to date?,D9 Do you first move or first message someone you've matched with on Bumble?,"D10 For the previous question, why or why not?",D11 What is/are the biggest challenge/s you face when looking for dates on Bumble?,D12 What are your biggest dislikes when interacting with people you've matched with?,"D13 In a scale of 1 to 5, rate on how Bumble affected your social life.","D14 In a scale of 1 to 5, rate on how Bumble affected your self-confidence.",D15 Share what learning experience/s you've learned by using Bumble to find a date or love as a student.,"B1 When finding friends on Bumble, do you have a specific goal in mind? (Select one/all that apply)",B2 Do you use your real name when creating a BFF account in Bumble?,"B3 On the previous question, briefly explain why you do/do not use your real name? ",B4 How many matches (on average) do you typically make in a week?,B5 How do you approach the swiping feature on Bumble personally?,"B6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference? ",B7 What type of people do you usually look for in Bumble BFF?,B8 What type of people do you prefer to become friends with?,B9 Do you first move or first message someone you've matched with on Bumble? ,"B10 For the previous question, why or why not?",B11 What is/are the biggest challenge/s you face when looking for friends on Bumble? ,B12 What is the main reason you're seeking new friends right now?,B13 Have you ever met any of your BFF match in person?,B14 Estimate how many friends (may it be real life or online) you've made over the course of your Bumble BFF use?,B15 Share what learning experience/s you've learned by using Bumble to find a friend/s as a student. ,"C1 When finding people in Bizz on Bumble, do you have a specific goal in mind? (Select one/all that apply)",C2 Do you use your real name when creating a professional account in Bumble Bizz?,"C3 On the previous question, briefly explain why you do/do not use your real name? ",C4 How many matches (on average) do you typically make in a week?,C5 How do you approach the swiping feature on Bumble personally? ,C6 What type of people do you usually look for in Bumble Bizz?,C7 How often do you reach out to new contacts on Bumble for business purposes?,C8 What is/are the biggest challenge/s you face when looking for professionals in Bumble?,C9 What do you believe is the biggest advantage of using Bumble for your networking goals?,C10 Have you ever secured a Bumble business contact over the course of your Bumble Bizz usage?,"C11 From the previous question, can you estimate how many matches you've made so far?",C12 Do you find your conversations on Bumble Bizz leads to follow-ups or further networking opportunities on other platforms or face-to-face meetups?,"C13 In a scale of 1 to 5, rate on how Bumble Bizz affected your self-confidence","C14 In a scale of 1 to 5, rate on how Bumble Bizz helped you in your career growth.",C15 Share what learning experience/s you've learned by using Bumble to find professional connections.
4/4/2025 14:21:46,19,Gay,Male,Laguna,To see hot guys and to flex myself,Rarely,1-3 months,No,None,2,BFF,,,,,,,,,,,,,,,,Couple friends,Yes,"Because it's my real name, I do not need to be discreet, I am out and proud",5,Selective swiping - I swipe right only on profiles that genuinely catch my interest,Same age for same wavelength ,Same University/College,Men,Yes,Because there's no shame in it... it's a dating app...,Matches that don't respond,Bored,Yes,1,"Never use bumble again, find genuine friends",,,,,,,,,,,,,,,
4/4/2025 14:29:50,18,Heterosexual (straight),Female,Rizal,im bored ,Rarely,Less than a month,No,None,3,BFF,,,,,,,,,,,,,,,,"People to meet in real life, Workouts and Sports",Yes,confidentiality ,15,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",UHM GUSTO KO KAVIBES KOLANG GANUN,Same Age,Men,No,hindi kaya ng ego ko mag first move,Misaligned goals (some are looking for other various type of friendships or looking for dates in BFF etc.),Bored,No,2,I don't have,,,,,,,,,,,,,,,
4/4/2025 14:30:13,22,Bisexual,Male,Batangas,Lf for friends or hangout buddies; connect with IT peeps,Few times a month,More than a year,No,None,3,BFF,,,,,,,,,,,,,,,,"Couple friends, Coworking, Live Music, Nights out, People to meet in real life, Travel, Workouts and Sports",No,It makes it easier for them to find out my other soc med accounts,3,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",It can be due to maturity level. One  might prefer someone who acts or thinks like their age or someone in contrast.,Same Interests,Men,Yes,I hate the waiting game. I don’t want to end up just collecting matches,Geographic distance,Expanding social circle,Yes,3,Just don’t expect too much and also try to meet ASAP to know if you guys really vibe,,,,,,,,,,,,,,,
4/4/2025 15:02:37,18,Bisexual,Male,Rizal,I love talking to people who share the same interests that I have.,Few times a month,1-3 months,No,None,3,Dating,"Fun, casual dates",No,I see bumble as an escape from my reality. Perhaps using my real name won't live up to that facade. ,10,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","I prefer to be with or talk to people who can talk to me regardless of the age difference. So regardless of our age, I'm lucky if I can find someone.",Same Interests,Men,No,Can't lower my pride. Sorry.,Finding genuine connections,The narcissists. ,3 - No Impact,3 - No Impact,"After all, it's easier to attract butterflies than catching them. I've learned to let people see me as who I am rather than impressing them by who they want me to be. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 15:32:14,22,Gay,Male,Laguna,To meet new people,Several times a day,Less than a month,No,None,4,Dating,"Fun, casual dates, Life partner, Long-term relationship",Yes, Because I am being genuine.,10,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",Level of maturity ,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Men,Yes,Why wait.,"Finding genuine connections, Geographic distance",Communication skill is weak.,3 - No Impact,3 - No Impact,Don't rush anything ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 15:43:21,21,Bisexual,Male,Camarines Sur,"I got curious, so I installed the app to find people to connect with. The vibe seems friendlier than other apps. ",Few times a week,3-6 months,No,None,2,BFF,,,,,,,,,,,,,,,,"People to meet in real life, Friendship",No,I prefer to stay a bit private at first until I feel comfortable with someone. ,3-5 matches,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"I prefer connecting with people around my age because we’re more likely to share similar life experiences, interests, and communication styles. It just makes building a friendship feel more natural from the start. ",Same Interests,Men,Yes,"I usually make the first move when I match with someone. I figure if we matched, there’s already mutual interest—so why wait? 

I’m genuinely interested in getting to know them. ",Geographic distance,Feeling lonely,No,3,"First, being clear about my interests and intentions upfront helps attract the right kind of friend.

Second, I learned to embrace the awkwardness of initiating conversations online.

Finally, patience is key. Meaningful connections take time, and not every match will turn into a lasting friendship, and that’s okay. ",,,,,,,,,,,,,,,
4/4/2025 16:17:21,18,Gay,Male,Metro Manila,To find someone to date ,Once a day,3-6 months,No,None,3,Dating,"Life partner, Long-term relationship",No,For privacy reasons,15,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I would love someone older than me because I love older guys ,"Same Interests, Different University/College, Different Age",Men,Yes,You’re not going to lose anything if you do the first move ,"Finding genuine connections, Having similar relationship goals, Matches with people that ghosts or unexpectedly unmatches",When they’re texters,2 - Somewhat negatively affected my social life,2 - Somewhat negatively affected my self-confidence,I’ve learned to be true to people to find someone who’s also true to you ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 18:36:20,19,Bisexual,Male,Metro Manila,To look for friends/date,Once a day,6-12 months,Yes,Boost,3,Dating,"Fun, casual dates, Life partner, Long-term relationship",No,I prefer to use my given nickname,4-5,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I feel like I'll vibe more with people round my same age,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests",Men,Yes,Nothing's wrong with greeting them firsthand,"Geographic distance, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches",Cold replies,4 - Somewhat positively improved my social life,5 - Very Positively Improved my self-confidence,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 19:26:19,19,Gay,Male,Laguna,"For networking, dating.",Few times a week,6-12 months,No,None,3,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,It's easier to build connections that way.,7,Aggressive swiping - I swipe to maximize matches and filter later,I just like to interact with people around the same age range.,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests",Men,Yes,I like to maximize my Bumble usage.,"Finding genuine connections, Geographic distance, I am not their type, Matches that don't respond, Not enough matches",No response.,3 - No Impact,4 - Somewhat positively improved my self-confidence,Dating apps are a make it or break it when it comes to confidence and how you come in to terms with your dating preferences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025 20:14:04,26,Heterosexual (straight),Male,Nueva Ecija,To meet new people and somehow try something new ,Few times a month,Less than a month,No,None,4,BFF,,,,,,,,,,,,,,,,"Couple friends, Nights out",Yes,To be more authentic ,8-9 in a week ,Selective swiping - I swipe right only on profiles that genuinely catch my interest,To be extra cautious especially since I don’t know any information about that person ,Different University/College,Women,No,To be more careful ,Matching schedules,Seeking friends with similar hobbies,No,Around 4-5,I learned to be more responsible when starting a conversation especially with older women ,,,,,,,,,,,,,,,
