dateTime,A1,A2,A2.1,A3,A4,A5,A6,A7,A8,A9,A10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15
2025-04-04 15:02:37,18,Bisexual,Male,Rizal,I love talking to people who share the same interests that I have.,Few times a month,1-3 months,No,,3,Dating,"Fun, casual dates",No,I see bumble as an escape from my reality. Perhaps using my real name won't live up to that facade. ,10.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","I prefer to be with or talk to people who can talk to me regardless of the age difference. So regardless of our age, I'm lucky if I can find someone.",Same Interests,Men,No,Can't lower my pride. Sorry.,Finding genuine connections,The narcissists. ,3 - No Impact,3 - No Impact,"After all, it's easier to attract butterflies than catching them. I've learned to let people see me as who I am rather than impressing them by who they want me to be. "
2025-04-04 15:32:14,22,Gay,Male,Laguna,To meet new people,Several times a day,Less than a month,No,,4,Dating,"Fun, casual dates, Life partner, Long-term relationship",Yes, Because I am being genuine.,10.0,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",Level of maturity ,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Men,Yes,Why wait.,"Finding genuine connections, Geographic distance",Communication skill is weak.,3 - No Impact,3 - No Impact,Don't rush anything 
2025-04-04 16:17:21,18,Gay,Male,Metro Manila,To find someone to date ,Once a day,3-6 months,No,,3,Dating,"Life partner, Long-term relationship",No,For privacy reasons,15.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I would love someone older than me because I love older guys ,"Same Interests, Different University/College, Different Age",Men,Yes,You’re not going to lose anything if you do the first move ,"Finding genuine connections, Having similar relationship goals, Matches with people that ghosts or unexpectedly unmatches",When they’re texters,2 - Somewhat negatively affected my social life,2 - Somewhat negatively affected my self-confidence,I’ve learned to be true to people to find someone who’s also true to you 
2025-04-04 18:36:20,19,Bisexual,Male,Metro Manila,To look for friends/date,Once a day,6-12 months,Yes,Boost,3,Dating,"Fun, casual dates, Life partner, Long-term relationship",No,I prefer to use my given nickname,4.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I feel like I'll vibe more with people round my same age,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests",Men,Yes,Nothing's wrong with greeting them firsthand,"Geographic distance, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches",Cold replies,4 - Somewhat positively improved my social life,5 - Very Positively Improved my self-confidence,
2025-04-04 19:26:19,19,Gay,Male,Laguna,"For networking, dating.",Few times a week,6-12 months,No,,3,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,It's easier to build connections that way.,7.0,Aggressive swiping - I swipe to maximize matches and filter later,I just like to interact with people around the same age range.,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests",Men,Yes,I like to maximize my Bumble usage.,"Finding genuine connections, Geographic distance, I am not their type, Matches that don't respond, Not enough matches",No response.,3 - No Impact,4 - Somewhat positively improved my self-confidence,Dating apps are a make it or break it when it comes to confidence and how you come in to terms with your dating preferences.
2025-04-04 20:26:41,20,Gay,Male,Cavite,To entertain myself and find some interesting people to talk to.,Several times a day,More than a year,Yes,"Boost, Compliment, Premium, Spotlight, Superswipe",4,Dating,"Fun, casual dates, Intimacy, without commitment",No,"I do not trust yet the people there, I always value my anonymity.",10.0,Aggressive swiping - I swipe to maximize matches and filter later,"I think same age because I can talk about things that they can possibly relate to since we are at the same stage in life. For different age, maybe age gap by less than 5 years would be the max tolerable age gap.","Same University/College, Same Age, Same Location, Same Interests",Men,Yes,Yes because I like presenting myself head on as a guy that's approachable to talk with. This sets a great conversation flow between us.,"Finding genuine connections, Geographic distance, I am not their type, Matches that don't respond, Not enough matches",People that are dry texter.,2 - Somewhat negatively affected my social life,4 - Somewhat positively improved my self-confidence,"Bumble dating is not for the weak hearted. Maybe there's a chance to find true love there, but it's rare I guess. Always be guarded on dating apps because it's a cutthroat environment out there."
2025-04-04 20:34:36,21,Heterosexual (straight),Female,Metro Manila,for past time or i just it when i am bored,Few times a week,1-3 months,Yes,Superswipe,3,Dating,"Fun, casual dates",No,for privacy and safety,10.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,i like men who's older than me,"Same Interests, Different Age",Men,No,no cause i like men who made a move first,"Geographic distance, Not my type",they immediately want to meet even if we just talked for a day,2 - Somewhat negatively affected my social life,2 - Somewhat negatively affected my self-confidence,don't find a bf or gf in dating app cause some of them only wants to hook up
2025-04-04 20:40:02,20,Bisexual,Non-binary,Cavite,For fun,Once a day,Less than a month,No,,3,Dating,"Fun, casual dates",No,privacy ,5.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I like age that is closer to me ,"Same Location, Different Location",Non-binary people,Yes,I don't know I just like to do a first move,Finding genuine connections,they want to have sex already ,4 - Somewhat positively improved my social life,3 - No Impact,be careful who you chat
2025-04-04 20:43:14,21,Heterosexual (straight),Female,Metro Manila,For entertainment whenever I'm bored and want someone to talk to,Once a day,6-12 months,No,,3,Dating,"Fun, casual dates, Intimacy, without commitment",No,I don't want to be called by my real name if I only met a person thru online ,4.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"I prefer guys who are at least 1-3 years older than me, I think they are more mature than guys who are younger than me.","Same Interests, Different University/College, Different Degree Program",Men,Yes,I find it more thrilling ,"Finding genuine connections, Matches that don't respond",I hate matching with those guys that have other motives.,2 - Somewhat negatively affected my social life,2 - Somewhat negatively affected my self-confidence,I think one of the things I learned is don't trust everything you see online.
2025-04-04 21:03:53,18,Gay,Male,Laguna,dating app,Few times a week,1-3 months,No,,4,Dating,Long-term relationship,Yes,i use because i want too,2.0,Strategic swiping - I swipe based on specific type or checklist in mind,it's just personal ,Same Location,Men,Yes,Because it's i want to,Finding genuine connections,Too horny,4 - Somewhat positively improved my social life,3 - No Impact,It's fun
